title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_hours,price
Chapter 3: A Hindu Perspective ,,"87,336",Self-paced on your time,Harvard University,Doug Lloyd-David J. Malan,Introductory,Computer Science,English,English,60,7870.5
Chapter 4: A Buddhist Perspective Module 3: Religion and Virtue Ethics - Part II,,"1,71,258",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,16,3895.5
Chapter 1: A Jewish Perspective ,,"1,25,051",Self-paced on your time,Harvard University,Karen L. King-Sarah Griffis,Introductory,Humanities,English,English,40,7870.5
Chapter 2: A Catholic Perspective ,,"4,75,614",Self-paced on your time,"University of California, Berkeley",Dacher Keltner-Emiliana Simon-Thomas,Introductory,Social Sciences,English,English,55,13435.5
Chapter 3: A Protestant Evangelical Perspective ,,"2,31,131",Self-paced on your time,Harvard University,Richard Elmore,Introductory,Communication,English,"English, Español",40,7870.5
Chapter 4: An Islamic Perspective,,"57,814",Self-paced on your time,Harvard University,Ronald Heifetz,Introductory,Business & Management,English,English,12,7870.5
Chapter 5: An Indigenous Perspective Module 4: The Virtuous Society,,"1,35,859",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,16,3895.5
Chapter 1: Virtue Ethics as a Multi-Religious Consensus,,"1,17,410",Self-paced on your time,Harvard University,Kathryn Parker Boudett,Intermediate,Education & Teacher Training,English,"English, Español",20,5565
Chapter 2: Inquiry and Moral Reasoning ,,"80,082",Self-paced on your time,Harvard University,Aaron Kesselheim-Jonathan Darrow-Ameet Sarpatwari-Jerry Avorn,Introductory,Medicine,English,English,40,7870.5
Chapter 3: Spirituality and the Common Good ,,"1,05,146",Self-paced on your time,Harvard University,Karen L. Mapp,Introductory,Education & Teacher Training,English,English,24,5565
Chapter 4: Virtue Ethics and Science ,,"1,82,462",Self-paced on your time,Wellesley College,Daniela Bartalesi-Graf,Introductory,Language,Italiano,Italiano,60,3895.5
Chapter 5. Gender Equality: A Confucian Perspective Module 5: Poverty and Inequality,,"53,630",Self-paced on your time,Waseda University,Naoko Kinoshita,Introductory,Language,English,"English, 日本語",25,3895.5
Chapter 1: The Challenge of Global Poverty ,,"3,06,787",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,English,30,3895.5
Chapter 2: The Rights to Health, Education,"95,324",Self-paced on your time,Harvard University,David Keith-Daniel Thorpe,Introductory,Environmental Studies,English,English,50,7870.5
Chapter 3: Christian Social Teachings on Poverty,,"97,291",Self-paced on your time,Harvard University,Joseph Blitzstein,Intermediate,Data Analysis & Statistics,English,English,100,7870.5
Chapter 4: Ethical Conduct Towards the Vulnerable,,"1,02,075",Self-paced on your time,Harvard University,"Trudy Van Houten-Michael Parker-Alexander Bick, M.D., Ph.D.",Intermediate,Medicine,English,English,42,7870.5
Chapter 5: Ethical Actions to End Poverty Module 6: Peace,,"88,256",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,16,3895.5
Chapter 1: The State of Conflict around the World,,"58,626",Self-paced on your time,Harvard University,Rajesh Ramesh Panjabi,Introductory,Health & Safety,English,English,24,6280.5
Chapter 2: Barriers to Lasting Peace among and within Nations ,,"1,82,295",Self-paced on your time,Harvard University,Charles Hallisey-Alexis Bader,Introductory,Humanities,English,English,40,7870.5
Chapter 3: Tenets of Peace of the World�s Religions ,,"6,42,088",Self-paced on your time,The Linux Foundation,Jerry Cooperstein,Introductory,Computer Science,English,English,98,15820.5
Chapter 4: Religion and Peacebuilding ,,"81,221",Self-paced on your time,Harvard University,I. Glenn Cohen,Introductory,Medicine,English,English,20,7870.5
Chapter 5: Actions for a Lasting Peace: Lessons from Syria Module 7: Refugees, Trafficking,"48,938",Self-paced on your time,Harvard University,Stephen Greenblatt,Introductory,Humanities,English,English,28,3895.5
Chapter 1: Drivers of Migration, Human Trafficking,"1,12,623",Self-paced on your time,Universidad Galileo,Jojo Giuffra-Miguel Morales-Rocael Hernández,Introductory,Communication,Español,Español,20,3895.5
Chapter 2: The Ethics of Migration and Refugees,,"88,243",Self-paced on your time,Indian Institute of Management Bangalore,MS Narasimhan,Intermediate,Business & Management,English,"English, हिन्दी",44,11925
Chapter 3: The Ethics of Modern Slavery and Trafficking ,,"1,41,966",Self-paced on your time,The Georgia Institute of Technology,David Joyner,Introductory,Computer Science,English,English,50,7870.5
Chapter 4: Political and Social Responses to Forced Migration Module 8: Environmental Justice,,"51,679",Self-paced on your time,Wageningen University & Research,Dr. Marco Mensink-Rieneke Terink MSc-Pol Grootswagers MSc,Intermediate,Food & Nutrition,English,English,48,3895.5
Chapter 1: Environmental Perils Facing the Planet ,,"1,04,760",Self-paced on your time,Massachusetts Institute of Technology,Martin Culpepper-Laurie Stach,Introductory,Business & Management,English,English,18,5485.5
Chapter 2: A Hindu Approach to Environmental Care ,,"74,060",Self-paced on your time,Harvard University,Diane L. Moore,Introductory,Humanities,English,English,64,3895.5
Chapter 3: Laudato Si� and Climate Justice ,,"61,139",Self-paced on your time,Harvard University,Sarah Carter-Ivan Gaskell-Sara Schechner-Laurel Thatcher Ulrich,Introductory,Humanities,English,English,30,3895.5
Chapter 4: The Rights of Indigenous Populations ,,"3,22,701",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Communication,English,English,30,3895.5
Chapter 5: Defending our Common Home: Global and Local Actions Module 9: Politics and Power,,"62,803",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,40,7870.5
Chapter 1: Politics, Power,"37,045",Self-paced on your time,New York University,Itay Tal-Aspen Olmsted,Introductory,Computer Science,English,English,72,15900
Chapter 2: The Moral Underpinnings of Statecraft,,"84,874",Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,30,7870.5
Chapter 3: Ethics and the International Political Order ,,"31,369",Self-paced on your time,The University of Michigan,George Siedel,Introductory,Business & Management,English,English,28,3895.5
Chapter 4: Corruption and Politics Today Module 10: Business, Work,"75,310",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,16,3895.5
Chapter 1: The Moral Basis for Business Activity ,,"3,35,895",Self-paced on your time,The World Wide Web Consortium (W3C),Marwa Hussein-Andrew Byrne-Adrian Leven-Gerry O'Brien,Introductory,Computer Science,English,English,36,15820.5
Chapter 2: Corruption and Global Business,,"66,683",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,16,3895.5
Chapter 3: Technology and the Dignity of Work ,,"98,093",Self-paced on your time,Columbia University,Daniel Wolfenzon,Introductory,Business & Management,English,English,16,17887.5
"Chapter 4: Business Leadership for Community Well-being Course Conclusion: Towards a New Virtue Ethics for Sustainable DevelopmentExamining Ethics in Action: Case Studies""",https://www.edx.org/course/ethics-in-action,"39,540",Self-paced on your time,Stanford University,Nick Parlante,Introductory,Computer Science,English,English,36,11845.5
Introduction to FinTech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance.","64,584",Self-paced on your time,Harvard University,Rafael Irizarry,Introductory,Data Analysis & Statistics,English,English,16,3895.5
Data Science: R Basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.","1,87,138",Self-paced on your time,Cornell University,Rajesh Bhaskaran,Intermediate,Engineering,English,English,36,15820.5
Python Basics for Data Science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!","49,340",Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,English,English,8,3895.5
Your first program,,"1,10,086",Self-paced on your time,The University of Queensland,Blake McKimmie-Mark Horswill-Barbara Masser,Introductory,Humanities,English,English,16,7870.5
Types,,"80,161",Self-paced on your time,IBM,Saeed Aghabozorgi,Introductory,Data Analysis & Statistics,English,English,30,3100.5
Expressions and Variables,,"94,079",Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,20,3100.5
String Operations Module 2 - Python Data Structures,,"1,11,785",Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets Mataix-Víctor Braquehais Acero,Intermediate,Computer Science,Español,Español,36,5962.5
Lists and Tuples,,"2,05,615",Instructor-led on a course schedule,Massachusetts Institute of Technology,John Tsitsiklis-Dimitri Bertsekas-Patrick Jaillet-Karene Chu,Advanced,Data Analysis & Statistics,English,English,224,23850
Sets,,"85,034",Self-paced on your time,Harvard University,David Cox,Introductory,Biology & Life Sciences,English,English,40,7870.5
Dictionaries Module 3 - Python Programming Fundamentals,,"44,125",Self-paced on your time,Harvard University,Harpreet Singh-Ravinder Singh-Damanpreet Singh,Introductory,Humanities,English,English,40,7870.5
Conditions and Branching,,"77,991",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,20,3975
Loops,,"97,291",Self-paced on your time,Harvard University,Joseph Blitzstein,Intermediate,Data Analysis & Statistics,English,English,100,7870.5
Functions,,"96,972",Self-paced on your time,Harvard University,Diane L. Moore-Anna Mudd,Introductory,Humanities,English,English,40,7870.5
Objects and Classes Module 4 - Working with Data in Python,,"81,004",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,Español,Español,28,3895.5
Reading files with open,,"28,879",Self-paced on your time,Davidson College,Pete Benbow,Introductory,Data Analysis & Statistics,English,English,80,7870.5
Writing files with open,,"78,443",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Advanced,Data Analysis & Statistics,English,English,16,11845.5
Loading data with Pandas,,"67,029",Self-paced on your time,Berklee College of Music,George Russell,Introductory,Humanities,English,English,30,3895.5
Working with and Saving data with Pandas Module 5 - Working with Numpy Arrays,,"1,26,850",Self-paced on your time,The Hong Kong Polytechnic University,John Yuen-Benson Lau-Allen Cheong-Richard Li,Introductory,Medicine,English,English,32,11050.5
Numpy 1d Arrays,,"76,874",Self-paced on your time,Harvard University,Edward Glaeser,Introductory,Social Sciences,English,"English, Português",77,7870.5
"Numpy 2d Arrays""",https://www.edx.org/course/python-basics-for-data-science,"24,208",Self-paced on your time,Harvard University,Michael Puett,Introductory,Philosophy & Ethics,English,English,26,7870.5
The Science of Beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health.","41,838",Self-paced on your time,Massachusetts Institute of Technology,Bill Aulet-Erdin Beshimov,Introductory,Business & Management,English,English,40,3895.5
Module 4: Consumption of beer and health effects,,"44,045",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,16,3895.5
** In this week you will follow the pathway that beer takes after it is consumed. You will form your own opinion on responsible drinking," by comparing both positive and negative effects on the human health.""","85,561",Instructor-led on a course schedule,Massachusetts Institute of Technology,Regina Barzilay-Tommi Jaakkola-Karene Chu,Advanced,Computer Science,English,English,210,23850
Strategic Social Media Marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,"43,766",Self-paced on your time,IBM,Alex Aklson,Introductory,Data Analysis & Statistics,English,English,36,3100.5
Introduction to social media and how it has altered the consumer decision-making process and communications paradigm. Describe the role of social media in marketing strategy and assess the tradeoffs in using social media relative to traditional communication methods. Learn how to set social media marketing objectives that are linked to business objectives. Week 2: Leveraging Networks,,"52,639",Self-paced on your time,Massachusetts Institute of Technology,Anant Agarwal-Gerald Sussman-Piotr Mitros-Chris Terman,Introductory,Electronics,English,"English, 中文",35,13435.5
Understand the role of networks in the distribution of content, including network structure and how it affects the flow of information. Learn how to leverage online networks and communities to engage consumers in brand-related conversations. Discuss how to identify influencers and their role in distributing content. Week 3: Creating Engaging Content,"91,788",Self-paced on your time,Indian Institute of Management Bangalore,S.G. Badrinath,Intermediate,Business & Management,English,English,25,3975
Learn how to create social media content that attracts and retains consumers' attention and motivates engagement and sharing. Describe the role of storytelling in a digital landscape. Understand how to evaluate and select platforms for distributing content. Week 4: Social Media Listening and Co-Creation,,"54,136",Self-paced on your time,Harvard University,John McDonough-Howard Koh-Amy Edmondson-Jose Alvarez,Introductory,Business & Management,English,English,27,7870.5
Examine how social media listening is integrated into marketing decision making. Introduction to approaches to social media listening and how to draw inferences from listening data. Learn how social media is used to facilitate open innovation and co-creation. Week 5: Assessing Social Media ROI,,"92,004",Self-paced on your time,Harvard University,Rafael Irizarry-Michael Love,Intermediate,Math,English,English,16,11845.5
Introduction to a framework for assessing the return on investment of social media activities. Describe metrics for measuring the success of social media efforts and explore the role of analytics in linking these metrics to the bottom line. Understand the role of paid media in social media marketing. Week 6: The Role of Social Media in the Organization,,"61,989",Self-paced on your time,Indian Institute of Management Bangalore,Suresh Bhagavatula,Introductory,Business & Management,English,"English, हिन्दी",24,11925
Describe organizational approaches to managing social media and developing social media policy. Discuss how to manage specific issues in social media, including negative feedback,"23,728",Self-paced on your time,Inter-American Development Bank,Marina Casciano-Micaela Cordero-Helga Flores Trejo-Matteo Grazzi,Introductory,Art & Culture,Español,Español,32,1987.5
CS50's Introduction to Artificial Intelligence with Python,Learn to use machine learning in Python in this introductory course on artificial intelligence.,"1,19,891",Self-paced on your time,Harvard University,Jennifer Leaning-Michael VanRooyen,Introductory,Health & Safety,English,English,20,7870.5
CS50's Introduction to Game Development,This course is part of a Professional Certificate,"38,939",Self-paced on your time,Harvard University,Laurel Thatcher Ulrich-Jane Kamensky,Introductory,History,English,English,24,7870.5
Rhetoric: The Art of Persuasive Writing and Public Speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,"88,789",Self-paced on your time,Harvard University,David Damrosch-Martin Puchner,Introductory,Literature,English,English,84,11845.5
CS50's Web Programming with Python and JavaScript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.","39,184",Self-paced on your time,IBM,Rav Ahuja,Introductory,Data Analysis & Statistics,English,English,16,3100.5
Contract Law: From Trust to Promise to Contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?","41,279",Self-paced on your time,Universidad del Rosario,Ángela Martínez Rodríguez-Janeth Hernández Jaramillo,Introductory,Communication,Español,Español,25,3895.5
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Learn how electricity makes the neurons in your brain tick.,"62,673",Self-paced on your time,Harvard University,Michael Brenner-David Weitz-Pia Sörensen,Introductory,Physics,English,English,48,13435.5
The nervous system functions by sending electrical signals between neurons. To begin our study of the nervous system, we will focus on a single neuron 'at rest,"21,613",Self-paced on your time,Universitat Politècnica de Valencia,Leonardo Salom Muñoz,Introductory,Computer Science,Español,Español,32,3895.5
Electrical signals between neurons can be sent through changes in their membrane potentials. In order to more deeply understand these electrical signals, we will first study the electrical properties of the neuron itself. We will examine the resistive and capacitive properties of the neuron,"70,682",Self-paced on your time,"University of California, Berkeley",Stephan Sorger,Intermediate,Computer Science,English,English,28,19795.5
In this lesson we will investigate one of the fundamental ways that neurons send electrical signals, through an all-or-nothing process called the action potential. The action potential is generated by the precise opening and closing of voltage-gated channels that cause specific changes to the neuron's membrane potential. We'll develop an in-depth understanding of the mechanisms of these channels and the ionic currents behind the action potential. Lesson 4: Action Potential Propagation,"37,598",Self-paced on your time,Harvard University,Marcia Castro-Flaminia Catteruccia-Michael R. Reich-Marcel Tanner,Intermediate,Biology & Life Sciences,English,"English, Français",40,3895.5
Neurons send electrical signals through action potentials moving down their axons. In order to further develop our understanding of the way neurons generate and send electrical signals, we will integrate our knowledge of the electrical properties of the neuron and the action potential itself. This will allos us to understand how the nervous system has solved the problem of fast and reliable communication. Lesson 5: DIY Labs,"1,13,602",Self-paced on your time,Harvard University,Tarun Khanna,Introductory,Business & Management,English,English,30,9937.5
Seeing or measuring something with your own hands is often the best way to learn! We've spent a lot of time discussing the electrical properties of neurons, and along the way you've seen many different demonstrations. You can perform some of these experiments,"1,60,112",Self-paced on your time,The World Wide Web Consortium (W3C),Michel Buffa,Introductory,Computer Science,English,English,40,15820.5
Justice,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,"1,13,592",Self-paced on your time,Indian Institute of Management Bangalore,Vasanthi Srinivasan,Introductory,Business & Management,English,"English, हिन्दी",24,11925
Data Science: Machine Learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,"57,208",Self-paced on your time,University of Washington,Daphne Mackey-Richard Moore,Introductory,Language,English,English,20,11845.5
Child Protection: Children's Rights in Theory and Practice,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.","20,502",Self-paced on your time,Stanford University,Jennifer Widom,Introductory,Computer Science,English,English,20,3975
IELTS Academic Test Preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.","1,04,108",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,28,3895.5
